City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
483,Minden,DE,77.47,scattered clouds,52.2833,8.9167,Victoria Hotel Minden
485,Saint Augustine,US,89.06,broken clouds,29.8947,-81.3145,St. George Inn
486,Finschhafen,PG,78.46,clear sky,-6.6024,147.8681,Cossam Guest House
492,Dzaoudzi,YT,78.69,broken clouds,-12.7887,45.2699,Le Rocher
494,Caravelas,BR,76.55,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
495,Lorengau,PG,80.46,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
499,Pinotepa Nacional,MX,86.68,overcast clouds,16.3167,-98.0167,Hotel Maria Del Carmen
500,Bubaque,GW,80.92,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
501,Kapustin Yar,RU,80.96,few clouds,48.5831,45.7372,"Gostinitsa ""Znamensk"""
503,Ulcinj,ME,82.62,scattered clouds,41.9294,19.2244,Hotel Palata Venezia
507,Manggar,ID,81.19,overcast clouds,-2.8833,108.2667,Guest Hotel
508,Rassvet,RU,78.71,clear sky,46.8333,40.75,
509,Le Vauclin,MQ,87.85,overcast clouds,14.5452,-60.8388,Hôtel Cap Macabou
511,Inirida,CO,86.04,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
513,Hobyo,SO,79.54,broken clouds,5.3505,48.5268,Iftin hotel hobyo
515,Albenga,IT,89.6,clear sky,44.0529,8.216,Albergo Marisa Snc dei Fratelli Ancona
516,Kailua,US,75.65,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
518,Teshie,GH,81.16,scattered clouds,5.5836,-0.1072,Best Western Plus Accra Beach Hotel
521,Millerovo,RU,76.33,broken clouds,48.9226,40.3967,"Millerovo ""Gostinyy Dvor"""
522,Kavaratti,IN,83.5,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
526,Mount Pleasant,US,84.34,clear sky,32.7941,-79.8626,Best Western Patriots Point
527,San Juan Del Sur,NI,82.62,broken clouds,11.2529,-85.8705,Nuestra Casa
530,Fare,PF,79.43,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
531,Kumluca,TR,76.82,clear sky,36.3703,30.2869,Akkol Apart
536,Mana,GF,83.37,overcast clouds,5.6592,-53.7767,LE SAMANA
539,Juba,SS,83.12,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
542,Pacific Grove,US,79.34,clear sky,36.6177,-121.9166,Lovers Point Inn
545,Namibe,AO,75.56,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
546,Cabedelo,BR,75.87,light rain,-6.9811,-34.8339,Pousada Camboinha
549,San Policarpo,PH,79.84,overcast clouds,12.1791,125.5072,Agapita M. Nicart
550,Dawlatabad,AF,88.61,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
552,Gazanjyk,TM,85.8,overcast clouds,39.2446,55.5154,Railway motel
556,Yenagoa,NG,79.32,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
557,Mingshui,CN,77.72,overcast clouds,36.7167,117.5,Grace Inn Zhangqiu Station Avenue Branch
558,La Roche-Sur-Yon,FR,77.27,broken clouds,46.6667,-1.4333,"The Originals City, Hôtel Napoléon, La Roche-sur-Yon (Inter-Hotel)"
565,Santa Marta,CO,87.85,overcast clouds,11.2408,-74.199,Hotel La Ballena Azul
567,Lusambo,CD,83.68,few clouds,-4.9667,23.45,
568,Stabat,ID,80.8,light rain,3.761,98.4513,Link VII damai
569,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
571,Podgornoye,RU,82.62,clear sky,51.735,39.1496,"O 'Hara's Irish Pub, restaurant, hotel"
573,Coahuayana,MX,87.4,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
