City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
161,Bardiyah,LY,2022-06-11 00:30:01,31.7561,25.0865,75.0,76,90,20.96
162,Kapaa,US,2022-06-11 00:30:01,22.0752,-159.319,82.38,70,40,11.5
163,Abha,SA,2022-06-11 00:30:02,18.2164,42.5053,68.25,12,0,0.0
164,Moron,AR,2022-06-11 00:30:03,-34.6534,-58.6198,42.93,51,0,7.11
165,Zhigansk,RU,2022-06-11 00:30:03,66.7697,123.3711,52.25,72,100,12.01
166,Armidale,AU,2022-06-11 00:29:25,-30.5167,151.65,44.06,63,31,11.25
167,Beringovskiy,RU,2022-06-11 00:30:05,63.05,179.3167,40.01,64,6,8.52
168,Auki,SB,2022-06-11 00:30:05,-8.7676,160.7034,85.17,64,70,2.75
169,Hualmay,PE,2022-06-11 00:30:06,-11.0964,-77.6139,63.91,85,55,9.1
170,East London,ZA,2022-06-11 00:30:06,-33.0153,27.9116,61.57,41,0,6.91
171,Vung Tau,VN,2022-06-11 00:25:53,10.346,107.0843,81.45,82,100,6.44
172,Shetpe,KZ,2022-06-11 00:30:07,44.1667,52.1167,65.64,58,4,5.19
173,Pisco,PE,2022-06-11 00:25:24,-13.7,-76.2167,63.01,82,1,10.36
174,Noumea,NC,2022-06-11 00:30:08,-22.2763,166.4572,73.99,99,94,12.71
175,Kalemie,CD,2022-06-11 00:30:08,-5.9475,29.1947,68.58,81,6,2.39
176,Ozernovskiy,RU,2022-06-11 00:30:09,51.5,156.5167,45.41,90,100,11.07
177,Tezu,IN,2022-06-11 00:28:34,27.9167,96.1667,73.35,99,100,2.15
178,Lebu,CL,2022-06-11 00:30:09,-37.6167,-73.65,49.33,81,84,8.86
179,Sakhon Nakhon,TH,2022-06-11 00:30:09,17.1612,104.1472,82.35,83,75,3.44
180,Cherskiy,RU,2022-06-11 00:30:10,68.75,161.3,70.14,26,88,13.67
181,Saryagash,KZ,2022-06-11 00:30:10,41.4511,69.1701,76.96,39,17,5.77
182,Kirakira,SB,2022-06-11 00:30:11,-10.4544,161.9205,84.43,70,25,6.26
183,Bethanien,NA,2022-06-11 00:30:11,-26.502,17.1583,54.05,27,14,8.52
184,Russkaya Polyana,UA,2022-06-11 00:30:12,49.417,31.9201,62.33,81,9,5.39
185,Abu Zabad,SD,2022-06-11 00:30:12,12.35,29.25,81.45,58,99,7.45
186,Coalinga,US,2022-06-11 00:30:13,36.1397,-120.3602,100.65,31,1,9.57
187,Duyun,CN,2022-06-11 00:30:13,26.2667,107.5167,66.96,95,100,3.29
188,Strezhevoy,RU,2022-06-11 00:30:14,60.7333,77.5889,60.78,78,100,11.92
189,Airai,TL,2022-06-11 00:30:14,-8.9266,125.4092,65.48,69,16,4.25
190,Tukrah,LY,2022-06-11 00:30:15,32.5341,20.5791,71.4,74,9,13.65
191,Mandalgovi,MN,2022-06-11 00:30:15,45.7625,106.2708,43.81,86,100,30.09
192,Warrnambool,AU,2022-06-11 00:30:16,-38.3833,142.4833,53.82,64,100,23.06
193,Beloha,MG,2022-06-11 00:30:16,-25.1667,45.05,62.76,94,4,4.81
194,Los Llanos De Aridane,ES,2022-06-11 00:30:17,28.6585,-17.9182,70.12,78,40,14.97
195,Maarianhamina,AX,2022-06-11 00:30:17,60.0973,19.9348,55.26,100,2,4.61
196,Kinel-Cherkassy,RU,2022-06-11 00:30:18,53.4706,51.4743,58.19,91,99,6.35
197,Ayagoz,KZ,2022-06-11 00:30:18,47.9714,80.4392,73.08,44,23,10.22
198,Rasskazovo,RU,2022-06-11 00:30:19,52.6714,41.9033,59.09,92,67,5.77
199,Dingle,PH,2022-06-11 00:30:19,10.9995,122.6711,84.13,73,65,2.3
200,Jaroslaw,PL,2022-06-11 00:27:25,50.0162,22.6778,62.8,97,96,9.57
201,Adrar,MR,2022-06-11 00:30:20,20.5022,-10.0711,92.05,14,98,10.6
202,Chapais,CA,2022-06-11 00:30:20,49.7834,-74.8492,62.38,81,95,7.43
203,Carnarvon,AU,2022-06-11 00:30:23,-24.8667,113.6333,71.28,64,5,5.17
204,Oussouye,SN,2022-06-11 00:30:23,12.485,-16.5469,80.69,82,49,9.19
205,San Carlos De Bariloche,AR,2022-06-11 00:27:00,-41.1456,-71.3082,33.24,80,0,4.61
206,Roald,NO,2022-06-11 00:30:24,62.5833,6.1333,59.16,94,100,4.61
207,Richards Bay,ZA,2022-06-11 00:30:24,-28.783,32.0377,60.8,91,0,6.33
208,Kasba,IN,2022-06-11 00:30:25,25.85,87.55,82.24,83,13,11.27
209,San Juan,AR,2022-06-11 00:30:15,-31.5375,-68.5364,48.72,44,100,1.77
210,Kamenka,RU,2022-06-11 00:30:25,51.3223,42.7678,60.3,93,14,6.78
211,Alice Springs,AU,2022-06-11 00:30:26,-23.7,133.8833,45.95,76,100,8.05
212,Vrbno Pod Pradedem,CZ,2022-06-11 00:30:26,50.1209,17.3832,56.28,86,2,2.93
213,Marathon,US,2022-06-11 00:30:27,44.9,-89.7668,74.73,33,100,9.22
214,Cidreira,BR,2022-06-11 00:30:27,-30.1811,-50.2056,50.45,60,4,16.11
215,San Jose,US,2022-06-11 00:26:05,37.3394,-121.895,99.9,37,40,20.71
216,Upata,VE,2022-06-11 00:30:27,8.0086,-62.3989,74.19,97,68,3.74
217,Saint-Denis,FR,2022-06-11 00:30:28,48.9167,2.3333,65.35,82,0,4.0
218,Mukerian,IN,2022-06-11 00:30:28,31.9506,75.6158,87.55,26,2,6.42
