City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Korla,CN,41.7597,86.1469,84.04,17,45,14.14,scattered clouds
302,San Pedro,PH,14.35,121.0167,83.43,84,75,5.75,light rain
303,Mayumba,GA,-3.432,10.6554,78.69,79,9,7.94,clear sky
304,Tazovskiy,RU,67.4667,78.7,62.29,52,100,9.93,overcast clouds
305,Qaqortoq,GL,60.7167,-46.0333,44.73,66,100,7.14,overcast clouds
306,Nijar,ES,36.9665,-2.206,89.24,18,0,20.71,clear sky
307,Ewo,CG,-0.8725,14.8206,88.05,41,3,2.33,clear sky
308,Richmond,US,37.5538,-77.4603,80.76,72,75,6.91,broken clouds
309,Naron,ES,43.5167,-8.1528,73.56,82,71,16.02,broken clouds
310,Ambilobe,MG,-13.2,49.05,75.34,70,70,3.27,broken clouds
311,Meulaboh,ID,4.1363,96.1285,77.92,85,100,1.81,light rain
312,Batticaloa,LK,7.7102,81.6924,83.84,72,100,3.11,overcast clouds
313,Birjand,IR,32.8663,59.2211,90.07,12,0,6.91,clear sky
314,Narino,CO,5.6089,-75.1766,68.67,84,100,2.44,light rain
315,Srednekolymsk,RU,67.45,153.6833,49.68,75,55,3.47,broken clouds
316,Vilcun,CL,-38.65,-72.2333,41.74,55,88,1.41,overcast clouds
317,Gubkinskiy,RU,64.434,76.5026,59.34,94,100,11.65,moderate rain
318,Pitimbu,BR,-7.4706,-34.8086,75.79,71,23,5.39,light rain
319,Ramnagar,IN,29.4,79.1167,92.08,20,47,4.34,scattered clouds
320,Carauari,BR,-4.8828,-66.8958,75.7,79,100,7.45,overcast clouds
321,Bone,DE,51.9669,12.1396,70.48,67,99,5.66,overcast clouds
322,Madras,IN,13.0878,80.2785,87.78,89,40,6.91,scattered clouds
323,Kochi,IN,9.9399,76.2602,80.58,81,36,5.82,scattered clouds
324,Lasa,IT,46.6166,10.7002,81.7,36,0,5.66,clear sky
325,Cervo,ES,43.6702,-7.4101,64.96,92,100,14.25,overcast clouds
326,Tezu,IN,27.9167,96.1667,73.58,98,100,3.85,overcast clouds
327,Milkovo,RU,54.7167,158.6167,45.41,79,96,4.83,overcast clouds
328,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,17,0,5.75,clear sky
329,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,82,100,5.14,light rain
330,Turukhansk,RU,65.8167,87.9833,63.18,43,99,14.25,overcast clouds
331,Necochea,AR,-38.5473,-58.7368,52.03,52,64,11.52,broken clouds
332,Jesus Carranza,MX,17.4333,-95.0333,83.01,75,45,5.5,scattered clouds
333,Zyryanka,RU,65.75,150.85,46.27,87,100,6.08,overcast clouds
334,Kyotera,UG,-0.6156,31.5175,66.56,86,46,5.53,light rain
335,Abu Dhabi,AE,24.4667,54.3667,93.22,50,0,16.11,clear sky
336,Ukiah,US,39.1502,-123.2078,72.84,75,0,1.01,clear sky
337,Anuradhapura,LK,8.3565,80.4173,78.78,82,99,10.56,overcast clouds
338,Marawi,PH,7.9986,124.2928,68.88,93,99,2.57,overcast clouds
339,Valday,RU,57.9747,33.2525,68.2,66,53,2.28,broken clouds
340,Kamaishi,JP,39.2667,141.8833,60.96,98,100,2.1,moderate rain
341,Vostok,RU,46.4856,135.8833,44.26,92,1,3.36,clear sky
342,Oda,JP,35.1833,132.5,64.33,90,51,7.92,broken clouds
343,Saldanha,ZA,-33.0117,17.9442,75.25,63,100,10.0,overcast clouds
344,Baglung,NP,28.2719,83.5898,72.79,74,64,5.64,moderate rain
345,College,US,64.8569,-147.8028,51.08,76,75,0.0,broken clouds
346,Shimoda,JP,34.6667,138.95,63.1,90,100,23.76,light rain
347,Palanga,LT,55.9175,21.0686,64.42,68,0,4.61,clear sky
